loss_pct,latency_ms,kem,run,success,degraded,total_ms,rtt_ms,msg1_bytes,msg2_bytes,error
5,100,ML-KEM-1024,4,True,False,712.66,562.98,1581,3165,
5,100,ML-KEM-1024,5,True,False,727.17,578.87,1581,3165,
10,100,ECDH-P256,1,True,True,213.39,108.37,75,156,
10,100,ECDH-P256,2,True,True,223.45,112.2,75,156,
10,100,ECDH-P256,3,True,True,213.58,109.39,75,156,
10,100,ECDH-P256,4,True,True,219.07,107.1,75,156,
10,100,ECDH-P256,5,True,True,223.97,114.1,75,156,
10,100,ML-KEM-512,1,True,False,353.48,224.8,813,1597,
10,100,ML-KEM-512,2,True,False,352.71,229.81,813,1597,
10,100,ML-KEM-512,3,True,False,363.35,236.76,813,1597,
10,100,ML-KEM-512,4,True,False,359.32,230.64,813,1597,
10,100,ML-KEM-512,5,True,False,360.63,229.41,813,1597,
10,100,ML-KEM-768,1,True,False,588.16,451.91,1197,2301,
10,100,ML-KEM-768,2,True,False,596.79,453.69,1197,2301,
10,100,ML-KEM-768,3,True,False,589.55,453.83,1197,2301,
10,100,ML-KEM-768,4,True,True,2864.77,2722.24,1197,2301,
10,100,ML-KEM-768,5,True,False,597.0,451.48,1197,2301,
10,100,ML-KEM-1024,1,True,True,7366.4,7208.55,1581,3165,
10,100,ML-KEM-1024,2,True,False,701.32,556.42,1581,3165,
10,100,ML-KEM-1024,3,True,False,713.6,567.58,1581,3165,
10,100,ML-KEM-1024,4,True,False,711.0,558.89,1581,3165,
10,100,ML-KEM-1024,5,True,False,702.81,555.83,1581,3165,
20,100,ECDH-P256,1,True,True,223.15,113.92,75,156,
20,100,ECDH-P256,2,True,True,220.36,110.9,75,156,
20,100,ECDH-P256,3,True,True,226.85,113.37,75,156,
20,100,ECDH-P256,4,True,True,211.2,105.11,75,156,
20,100,ECDH-P256,5,True,True,2785.89,107.42,75,156,
20,100,ML-KEM-512,1,True,False,366.16,233.5,813,1597,
20,100,ML-KEM-512,2,True,False,357.97,225.99,813,1597,
20,100,ML-KEM-512,3,True,False,344.29,219.33,813,1597,
20,100,ML-KEM-512,4,True,False,359.85,230.86,813,1597,
20,100,ML-KEM-512,5,True,False,355.4,226.06,813,1597,
20,100,ML-KEM-768,1,True,True,6445.64,3444.91,1197,2301,
20,100,ML-KEM-768,2,True,False,593.15,450.4,1197,2301,
20,100,ML-KEM-768,3,True,False,585.08,447.63,1197,2301,
20,100,ML-KEM-768,4,True,True,3046.61,2909.46,1197,2301,
20,100,ML-KEM-768,5,True,True,3105.05,2967.54,1197,2301,
20,100,ML-KEM-1024,1,True,True,3605.19,3448.77,1581,3165,
20,100,ML-KEM-1024,2,True,False,705.87,554.35,1581,3165,
20,100,ML-KEM-1024,3,True,True,6065.01,5917.29,1581,3165,
20,100,ML-KEM-1024,4,True,True,3479.8,3325.6,1581,3165,
20,100,ML-KEM-1024,5,True,False,696.29,553.66,1581,3165,
30,100,ECDH-P256,1,True,True,223.91,110.86,75,156,
30,100,ECDH-P256,2,True,True,210.16,106.42,75,156,
30,100,ECDH-P256,3,True,True,223.18,118.0,75,156,
30,100,ECDH-P256,4,True,True,232.09,126.55,75,156,
30,100,ECDH-P256,5,True,True,228.78,114.65,75,156,
30,100,ML-KEM-512,1,True,True,2867.22,2739.7,813,1597,
30,100,ML-KEM-512,2,True,True,39348.53,39218.33,813,1597,
30,100,ML-KEM-512,3,True,True,2799.17,2670.11,813,1597,
30,100,ML-KEM-512,4,True,True,3306.8,3179.48,813,1597,
30,100,ML-KEM-512,5,True,True,3061.34,2904.13,813,1597,
30,100,ML-KEM-768,1,True,False,588.59,450.49,1197,2301,
30,100,ML-KEM-768,2,True,True,3063.84,2931.46,1197,2301,
30,100,ML-KEM-768,3,True,True,10521.05,10380.59,1197,2301,
30,100,ML-KEM-768,4,True,False,588.71,444.78,1197,2301,
30,100,ML-KEM-768,5,True,True,9164.58,9028.44,1197,2301,
30,100,ML-KEM-1024,1,True,True,3369.55,560.55,1581,3165,
30,100,ML-KEM-1024,2,True,True,42165.22,42014.13,1581,3165,
30,100,ML-KEM-1024,3,True,False,717.43,570.82,1581,3165,
30,100,ML-KEM-1024,4,True,True,3210.91,3056.74,1581,3165,
30,100,ML-KEM-1024,5,True,False,715.69,565.96,1581,3165,
0,150,ECDH-P256,1,True,True,328.92,163.96,75,156,
0,150,ECDH-P256,2,True,True,320.26,159.64,75,156,
0,150,ECDH-P256,3,True,True,312.89,158.17,75,156,
0,150,ECDH-P256,4,True,True,317.82,154.93,75,156,
0,150,ECDH-P256,5,True,True,312.81,161.52,75,156,
0,150,ML-KEM-512,1,True,True,512.59,327.6,813,1597,
0,150,ML-KEM-512,2,True,True,527.35,335.93,813,1597,
0,150,ML-KEM-512,3,True,True,503.28,331.84,813,1597,
0,150,ML-KEM-512,4,True,True,503.42,325.38,813,1597,
0,150,ML-KEM-512,5,True,True,500.25,325.14,813,1597,
0,150,ML-KEM-768,1,True,True,826.74,642.9,1197,2301,
0,150,ML-KEM-768,2,True,True,839.39,645.91,1197,2301,
0,150,ML-KEM-768,3,True,True,827.32,636.86,1197,2301,
0,150,ML-KEM-768,4,True,True,838.41,651.33,1197,2301,
0,150,ML-KEM-768,5,True,True,841.68,648.54,1197,2301,
0,150,ML-KEM-1024,1,True,True,996.26,805.89,1581,3165,
0,150,ML-KEM-1024,2,True,True,1006.81,806.52,1581,3165,
0,150,ML-KEM-1024,3,True,True,1022.78,825.51,1581,3165,
0,150,ML-KEM-1024,4,True,True,998.13,800.13,1581,3165,
0,150,ML-KEM-1024,5,True,True,1013.2,820.27,1581,3165,
5,150,ECDH-P256,1,True,True,322.45,161.55,75,156,
5,150,ECDH-P256,2,True,True,324.39,162.45,75,156,
5,150,ECDH-P256,3,True,True,322.2,160.4,75,156,
5,150,ECDH-P256,4,True,True,322.08,162.31,75,156,
5,150,ECDH-P256,5,True,True,319.5,160.82,75,156,
5,150,ML-KEM-512,1,True,True,515.09,328.62,813,1597,
5,150,ML-KEM-512,2,True,True,504.76,330.46,813,1597,
5,150,ML-KEM-512,3,True,True,505.05,327.2,813,1597,
5,150,ML-KEM-512,4,True,True,506.45,332.77,813,1597,
5,150,ML-KEM-512,5,True,True,508.27,326.01,813,1597,
5,150,ML-KEM-768,1,True,True,827.13,639.49,1197,2301,
5,150,ML-KEM-768,2,True,True,833.88,646.75,1197,2301,
5,150,ML-KEM-768,3,True,True,856.16,666.07,1197,2301,
5,150,ML-KEM-768,4,True,True,830.96,640.84,1197,2301,
5,150,ML-KEM-768,5,True,True,832.97,647.97,1197,2301,
5,150,ML-KEM-1024,1,True,True,1011.29,809.23,1581,3165,
5,150,ML-KEM-1024,2,True,True,1050.72,811.24,1581,3165,
5,150,ML-KEM-1024,3,True,True,1014.23,813.32,1581,3165,
5,150,ML-KEM-1024,4,True,True,999.8,797.6,1581,3165,
5,150,ML-KEM-1024,5,True,True,1005.11,799.99,1581,3165,
10,150,ECDH-P256,1,True,True,310.76,155.49,75,156,
10,150,ECDH-P256,2,True,True,319.87,163.43,75,156,
10,150,ECDH-P256,3,True,True,314.67,157.74,75,156,
10,150,ECDH-P256,4,True,True,313.54,157.91,75,156,
10,150,ECDH-P256,5,True,True,365.14,205.02,75,156,
10,150,ML-KEM-512,1,True,True,497.96,320.22,813,1597,
10,150,ML-KEM-512,2,True,True,503.84,327.68,813,1597,
10,150,ML-KEM-512,3,True,True,510.07,331.89,813,1597,
10,150,ML-KEM-512,4,True,True,507.25,326.04,813,1597,
10,150,ML-KEM-512,5,True,True,514.54,334.26,813,1597,
10,150,ML-KEM-768,1,True,True,832.4,646.01,1197,2301,
10,150,ML-KEM-768,2,True,True,844.65,652.8,1197,2301,
10,150,ML-KEM-768,3,True,True,845.73,654.54,1197,2301,
10,150,ML-KEM-768,4,True,True,3088.22,2904.33,1197,2301,
10,150,ML-KEM-768,5,True,True,844.06,650.91,1197,2301,
10,150,ML-KEM-1024,1,True,True,1015.56,815.11,1581,3165,
10,150,ML-KEM-1024,2,True,True,1014.91,817.88,1581,3165,
10,150,ML-KEM-1024,3,True,True,9863.54,9662.89,1581,3165,
10,150,ML-KEM-1024,4,True,True,1022.19,817.68,1581,3165,
10,150,ML-KEM-1024,5,True,True,3217.42,3012.74,1581,3165,
20,150,ECDH-P256,1,True,True,319.68,161.21,75,156,
20,150,ECDH-P256,2,True,True,320.93,163.01,75,156,
20,150,ECDH-P256,3,True,True,316.28,158.31,75,156,
20,150,ECDH-P256,4,True,True,318.27,164.53,75,156,
20,150,ECDH-P256,5,True,True,322.79,163.92,75,156,
20,150,ML-KEM-512,1,True,True,3481.83,324.11,813,1597,
20,150,ML-KEM-512,2,True,True,3061.07,329.55,813,1597,
20,150,ML-KEM-512,3,True,True,509.05,336.38,813,1597,
20,150,ML-KEM-512,4,True,True,500.66,324.78,813,1597,
20,150,ML-KEM-512,5,True,True,510.1,327.26,813,1597,
20,150,ML-KEM-768,1,True,True,8620.77,8430.21,1197,2301,
20,150,ML-KEM-768,2,True,True,841.21,654.35,1197,2301,
20,150,ML-KEM-768,3,True,True,838.45,642.5,1197,2301,
20,150,ML-KEM-768,4,True,True,833.11,646.99,1197,2301,
20,150,ML-KEM-768,5,True,True,829.91,641.64,1197,2301,
20,150,ML-KEM-1024,1,True,True,1014.5,822.08,1581,3165,
20,150,ML-KEM-1024,2,True,True,1010.11,813.39,1581,3165,
20,150,ML-KEM-1024,3,True,True,1019.03,811.64,1581,3165,
20,150,ML-KEM-1024,4,True,True,11816.9,11622.09,1581,3165,
20,150,ML-KEM-1024,5,True,True,992.24,796.83,1581,3165,
30,150,ECDH-P256,1,True,True,3248.39,3090.38,75,156,
30,150,ECDH-P256,2,True,True,318.16,164.21,75,156,
30,150,ECDH-P256,3,True,True,3154.04,155.96,75,156,
30,150,ECDH-P256,4,True,True,320.3,156.73,75,156,
30,150,ECDH-P256,5,True,True,313.55,160.44,75,156,
30,150,ML-KEM-512,1,True,True,41012.8,40836.97,813,1597,
30,150,ML-KEM-512,2,True,True,3488.97,3317.34,813,1597,
30,150,ML-KEM-512,3,True,True,512.63,331.76,813,1597,
30,150,ML-KEM-512,4,True,True,504.36,329.17,813,1597,
30,150,ML-KEM-512,5,True,True,513.45,330.8,813,1597,
30,150,ML-KEM-768,1,True,True,3316.18,3126.03,1197,2301,
30,150,ML-KEM-768,2,True,True,52038.1,51845.59,1197,2301,
30,150,ML-KEM-768,3,True,True,3832.82,3645.74,1197,2301,
30,150,ML-KEM-768,4,True,True,839.99,654.27,1197,2301,
30,150,ML-KEM-768,5,True,True,3410.46,651.47,1197,2301,
30,150,ML-KEM-1024,1,True,True,25173.0,24977.36,1581,3165,
30,150,ML-KEM-1024,2,True,True,3514.1,3314.21,1581,3165,
30,150,ML-KEM-1024,3,True,True,3862.99,3669.84,1581,3165,
30,150,ML-KEM-1024,4,True,True,3737.79,3546.99,1581,3165,
30,150,ML-KEM-1024,5,True,True,47410.93,47205.29,1581,3165,
